USN,Section,Batch,Sem
1BI20IS001,A,2020,5
1BI20IS003,A,2020,5
1BI20IS004,A,2020,5
1BI20IS005,A,2020,5
1BI20IS006,A,2020,5
1BI20IS007,A,2020,5
1BI20IS008,A,2020,5
1BI20IS009,A,2020,5
1BI20IS010,A,2020,5
1BI20IS011,A,2020,5
1BI20IS012,A,2020,5
1BI20IS013,A,2020,5
1BI20IS014,A,2020,5
1BI20IS015,A,2020,5
1BI20IS016,A,2020,5
1BI20IS017,A,2020,5
1BI20IS018,A,2020,5
1BI20IS019,A,2020,5
1BI20IS020,A,2020,5
1BI20IS021,A,2020,5
1BI20IS022,A,2020,5
1BI20IS023,A,2020,5
1BI20IS024,A,2020,5
1BI20IS025,A,2020,5
1BI20IS026,A,2020,5
1BI20IS027,A,2020,5
1BI20IS028,A,2020,5
1BI20IS029,A,2020,5
1BI20IS030,A,2020,5
1BI20IS031,A,2020,5
1BI20IS032,A,2020,5
1BI20IS033,A,2020,5
1BI20IS034,A,2020,5
1BI20IS035,A,2020,5
1BI20IS036,A,2020,5
1BI20IS037,A,2020,5
1BI20IS038,A,2020,5
1BI20IS039,A,2020,5
1BI20IS040,A,2020,5
1BI20IS041,A,2020,5
1BI20IS042,A,2020,5
1BI20IS043,A,2020,5
1BI20IS044,A,2020,5
1BI20IS045,A,2020,5
1BI20IS046,A,2020,5
1BI20IS047,A,2020,5
1BI20IS048,A,2020,5
1BI20IS049,A,2020,5
1BI20IS050,A,2020,5
1BI20IS051,A,2020,5
1BI20IS052,A,2020,5
1BI20IS053,A,2020,5
1BI20IS054,A,2020,5
1BI20IS055,A,2020,5
1BI20IS056,A,2020,5
1BI20IS057,A,2020,5
1BI20IS058,A,2020,5
1BI20IS059,A,2020,5
1BI20IS060,A,2020,5
1BI20IS061,A,2020,5
1BI20IS062,A,2020,5
1BI20IS063,A,2020,5
1BI20IS064,A,2020,5
1BI20IS065,B,2020,5
1BI20IS066,B,2020,5
1BI20IS067,B,2020,5
1BI20IS068,B,2020,5
1BI20IS069,B,2020,5
1BI20IS070,B,2020,5
1BI20IS071,B,2020,5
1BI20IS072,B,2020,5
1BI20IS073,B,2020,5
1BI20IS074,B,2020,5
1BI20IS075,B,2020,5
1BI20IS076,B,2020,5
1BI20IS077,B,2020,5
1BI20IS078,B,2020,5
1BI20IS079,B,2020,5
1BI20IS080,B,2020,5
1BI20IS081,B,2020,5
1BI20IS082,B,2020,5
1BI20IS083,B,2020,5
1BI20IS084,B,2020,5
1BI20IS085,B,2020,5
1BI20IS086,B,2020,5
1BI20IS087,B,2020,5
1BI20IS088,B,2020,5
1BI20IS089,B,2020,5
1BI20IS090,B,2020,5
1BI20IS091,B,2020,5
1BI20IS092,B,2020,5
1BI20IS093,B,2020,5
1BI20IS094,B,2020,5
1BI20IS095,B,2020,5
1BI20IS096,B,2020,5
1BI20IS097,B,2020,5
1BI20IS098,B,2020,5
1BI20IS099,B,2020,5
1BI20IS100,B,2020,5
1BI20IS101,B,2020,5
1BI20IS102,B,2020,5
1BI20IS103,B,2020,5
1BI20IS104,B,2020,5
1BI20IS105,B,2020,5
1BI20IS106,B,2020,5
1BI20IS107,B,2020,5
1BI20IS108,B,2020,5
1BI20IS109,B,2020,5
1BI20IS110,B,2020,5
1BI20IS111,B,2020,5
1BI20IS112,B,2020,5
1BI20IS113,B,2020,5
1BI20IS114,B,2020,5
1BI20IS115,B,2020,5
1BI20IS116,B,2020,5
1BI20IS117,B,2020,5
1BI20IS118,B,2020,5
1BI20IS119,B,2020,5
1BI20IS120,B,2020,5
